snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,rayleigh_multiples,runs,successes,success_rate,success_ci95_low,success_ci95_high,mean_max_frequency_error_hz_if_success,median_condition_design,ill_conditioned_rate,mean_runtime_seconds
-6.0,1:3,3,0.005,2.0,200,200,1.0,0.9811539940816791,1.0,1.175109014127873e-05,1.002238582480376,0.0,3.848963836499952
-6.0,1:3,3,0.008,3.2,200,200,1.0,0.9811539940816791,1.0,1.1598108889718795e-05,1.0603706284753287,0.0,3.009775861999824
-6.0,1:3,3,0.01,4.0,200,200,1.0,0.9811539940816791,1.0,1.1519637041534913e-05,1.0009319993656374,0.0,2.8306565205000696
-6.0,1:3,3,0.015,6.0,200,200,1.0,0.9811539940816791,1.0,1.0500578967578277e-05,1.000599240107519,0.0,3.0186449670000366
-6.0,1:3,3,0.02,8.0,200,197,0.985,0.9568335194437211,0.9948858548155076,2.3012479592561017e-05,1.0010970486386532,0.0,0.7170082584999363
-6.0,1:10,10,0.001,0.4,200,129,0.645,0.5765198448160798,0.7080148134676072,6.0246366221267584e-05,2.7255598207809624,0.0,4.4220293070000665
-6.0,1:10,10,0.002,0.8,200,146,0.73,0.664564384587978,0.7867664526895944,8.407444985917294e-05,1.2650457729543876,0.0,5.369240746499964
-6.0,1:10,10,0.0025,1.0,200,161,0.805,0.744558352034882,0.8539455843549424,5.719959734836764e-05,1.0107122511735454,0.0,5.044570360999969
-6.0,1:10,10,0.003,1.2,200,200,1.0,0.9811539940816791,1.0,2.6108822154888855e-05,1.171762797938124,0.0,3.8121656900001106
-6.0,1:10,10,0.004,1.6,200,200,1.0,0.9811539940816791,1.0,1.1892807197479982e-05,1.2107997588474377,0.0,3.865043712000006
-6.0,1:10,10,0.005,2.0,200,200,1.0,0.9811539940816791,1.0,1.2391837202989642e-05,1.0022291325714592,0.0,3.904515824999962
-6.0,1:10,10,0.008,3.2,200,200,1.0,0.9811539940816791,1.0,1.192027553435171e-05,1.0604410679916625,0.0,3.0551525200000653
-6.0,1:10,10,0.01,4.0,200,199,0.995,0.9722256001302286,0.999116854010634,1.1495785379694114e-05,1.000921433170318,0.0,2.933101631499976
-6.0,1:10,10,0.015,6.0,200,200,1.0,0.9811539940816791,1.0,1.1330475808688512e-05,1.00067367375476,0.0,2.902127730499924
-6.0,1:10,10,0.02,8.0,200,192,0.96,0.9230670617058012,0.9795946128493436,1.1877753089140075e-05,1.000544095835672,0.0,0.7669389690000026
-12.0,1:1,1,0.001,0.4,200,147,0.735,0.6698229773344888,0.7913193998839003,0.00011058707186289192,2.4915762376460333,0.0,3.2703760299998974
-12.0,1:1,1,0.002,0.8,200,199,0.995,0.9722256001302286,0.999116854010634,6.866497452640733e-05,1.262723454384493,0.0,3.7092838769998706
-12.0,1:1,1,0.0025,1.0,200,200,1.0,0.9811539940816791,1.0,4.742468365787289e-05,1.0135422226937125,0.0,3.8143234749998736
-12.0,1:1,1,0.003,1.2,200,200,1.0,0.9811539940816791,1.0,3.767696688658173e-05,1.1688882765025483,0.0,3.8463703899999384
-12.0,1:1,1,0.004,1.6,200,200,1.0,0.9811539940816791,1.0,3.1198832870700245e-05,1.2096082742316652,0.0,3.7843758805000287
-12.0,1:1,1,0.005,2.0,200,200,1.0,0.9811539940816791,1.0,3.282864062474466e-05,1.0050758408026947,0.0,3.750165950500068
-12.0,1:1,1,0.008,3.2,200,200,1.0,0.9811539940816791,1.0,3.236011001593653e-05,1.0603752364674544,0.0,2.8103505004999896
-12.0,1:1,1,0.01,4.0,200,200,1.0,0.9811539940816791,1.0,3.24054540773755e-05,1.002578558470835,0.0,2.7802467669999533
-12.0,1:1,1,0.015,6.0,200,200,1.0,0.9811539940816791,1.0,3.114706780269927e-05,1.0015417090806134,0.0,2.8076230430002034
-12.0,1:1,1,0.02,8.0,200,200,1.0,0.9811539940816791,1.0,4.4179702420370504e-05,1.0017302437992215,0.0,1.7622543649999534
-12.0,1:3,3,0.001,0.4,200,152,0.76,0.69626534544272,0.8139347314797533,9.229840445427944e-05,2.6440828863874346,0.0,3.9575878880000164
