amplitude_case,separation_hz,replicate,sample_count,amplitude_1,amplitude_2,component_1_snr_db,component_2_snr_db,main_estimated_k,main_max_frequency_error_hz,main_success,main_bic_improvement,main_candidate_origin,main_residual_peak_ratio,main_conditional_glrt_statistic,main_conditional_glrt_threshold,main_frequency_ci_reliable,main_frequency_1_se_hz,main_frequency_2_se_hz,main_local_grid_step_hz,condition_design,condition_normal,smallest_singular_value,numerical_rank,column_count,ill_conditioned,music_estimated_k,music_max_frequency_error_hz,music_success,music_grid_step_hz,main_runtime_seconds,music_runtime_seconds,main_frequency_1_hz,main_frequency_2_hz,music_frequency_1_hz,music_frequency_2_hz
equal,0.00025,30,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-2490.9152632605983,peel_residual_rescan,4.714419332658574,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0703946630418917,1.1457447346685647,0.9654415151683374,5,5,False,1,nan,False,2.5e-05,0.4019685999955982,0.017787499993573874,13.497170529069665,nan,13.49995,nan
equal,0.00025,31,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-25.34912757881102,peel_residual_rescan,7.9440251877136765,2.146747659965692,5.291862556499362,False,nan,nan,2.5e-05,1.1207586809983117,1.2561000210330753,0.941533609295201,5,5,False,1,nan,False,2.5e-05,0.3977166999829933,0.015860099985729903,13.498525036823828,nan,13.50005,nan
equal,0.00025,32,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-1091.1961014511762,peel_residual_rescan,4.268973222961412,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0241372116540308,1.0488570282944931,0.9880050647671519,5,5,False,1,nan,False,2.5e-05,0.22997119999490678,0.01819250005064532,13.490459415955678,nan,13.50005,nan
equal,0.00025,33,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-14.174175824649865,fine_grid_secondary_peak,6.086447482250575,5.872199811799745,5.291862556499362,False,nan,nan,2.5e-05,1.0088657091422368,1.0178100190830683,0.9955770766488535,5,5,False,1,nan,False,2.5e-05,0.3971616000053473,0.025666599976830184,13.4948584974221,nan,13.499975,nan
equal,0.00025,34,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-342.62339475846966,peel_residual_rescan,11.57938836999228,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.107700824429203,1.227001116441136,0.9476648706233628,5,5,False,1,nan,False,2.5e-05,0.3809814000269398,0.019750499981455505,13.498075048073547,nan,13.499975,nan
equal,0.00025,35,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-29.461446139524924,fine_grid_secondary_peak,3.4185556686221035,0.776064446438792,5.291862556499362,False,nan,nan,2.5e-05,1.1313592602629545,1.2799737757827396,0.936591208372394,5,5,False,1,nan,False,2.5e-05,0.3625717000104487,0.022983200033195317,13.511941436965433,nan,13.499775,nan
equal,0.00025,36,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-27.46169442043174,peel_residual_rescan,3.3212189771077494,1.4425871614049657,5.291862556499362,False,nan,nan,2.5e-05,1.0238198991744645,1.0482071859456106,0.9881617863669633,5,5,False,1,nan,False,2.5e-05,0.42077720002271235,0.02264609996927902,13.49835004119872,nan,13.5001,nan
equal,0.00025,37,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-1961.266466416011,peel_residual_rescan,4.332305900630043,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0652183880725021,1.1346902142877797,0.9679380628136802,5,5,False,1,nan,False,2.5e-05,0.4197738000075333,0.02654590003658086,13.490846452619696,nan,13.50005,nan
equal,0.00025,38,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-7.008327075833222,fine_grid_secondary_peak,7.542803688777332,8.26166404010735,5.291862556499362,False,nan,nan,2.5e-05,1.0315721397959186,1.06414107960313,0.9843403981987201,5,5,False,1,nan,False,2.5e-05,0.3915341999963857,0.019113699963781983,13.495323664202457,nan,13.49995,nan
equal,0.00025,39,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-28.80513927989523,adaptive_split_1.00_over_T,3.0158280620769524,0.9948096436176148,5.291862556499362,False,nan,nan,2.5e-05,1.1169038148347281,1.2474741315923685,0.9433386901363346,5,5,False,1,nan,False,2.5e-05,0.4339689000044018,0.025413000024855137,13.498300042448689,nan,13.5,nan
equal,0.00025,40,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-3078.9149167382275,peel_residual_rescan,5.863202001023731,0.0,5.291862556499362,False,nan,nan,2.5e-05,3.1032566890137128,9.63020207790835,0.4337547438797741,5,5,False,1,nan,False,2.5e-05,0.4035477999714203,0.021048600028734654,13.505922673859063,nan,13.500025,nan
