case_name,replicate,sample_count,true_k,expected_k,estimated_k,success,frequency_mae_hz,noise_kind,theoretical_identifiable,condition_design,ill_conditioned,runtime_seconds,true_frequencies_hz,estimated_frequencies_hz
very_low_snr_-25,66,40001,4,4,1,False,10.000207543119986,gaussian,True,1.0000533876686621,False,0.5243463000006159,3.99999818;7.99992873;13.0000886;14.0000242,14.0002057
very_low_snr_-25,67,40001,4,4,1,False,10.000111423187574,gaussian,True,1.0000453356524255,False,0.20873459999711486,3.99999818;7.99992873;13.0000886;14.0000242,14.0001096
very_low_snr_-25,68,40001,4,4,1,False,9.999865068136858,gaussian,True,1.0000219862643256,False,0.5616322999994736,3.99999818;7.99992873;13.0000886;14.0000242,13.9998633
very_low_snr_-25,69,40001,4,4,2,False,3.000075840410232,gaussian,True,1.0001060118253233,False,1.0426793000006,3.99999818;7.99992873;13.0000886;14.0000242,4.00019104;13.9998876
very_low_snr_-25,70,40001,4,4,1,False,10.000202606586063,gaussian,True,1.000052992128274,False,0.5723017000054824,3.99999818;7.99992873;13.0000886;14.0000242,14.0002008
very_low_snr_-25,71,40001,4,4,1,False,10.000135245029567,gaussian,True,1.0000473975275037,False,0.22863800000050105,3.99999818;7.99992873;13.0000886;14.0000242,14.0001334
very_low_snr_-25,72,40001,4,4,2,False,5.000060991275707,gaussian,True,1.000063063764968,False,0.5722959999984596,3.99999818;7.99992873;13.0000886;14.0000242,8.00006955;13.9999794
very_low_snr_-25,73,40001,4,4,1,False,10.000115179000508,gaussian,True,1.000045663478538,False,0.24660389999917243,3.99999818;7.99992873;13.0000886;14.0000242,14.0001134
very_low_snr_-25,74,40001,4,4,2,False,4.999969635501275,gaussian,True,1.000089316763784,False,0.5568301000021165,3.99999818;7.99992873;13.0000886;14.0000242,7.99982102;14.0000452
very_low_snr_-25,75,40001,4,4,1,False,10.000073787659597,gaussian,True,1.0000419960910976,False,0.5436617000013939,3.99999818;7.99992873;13.0000886;14.0000242,14.000072
very_low_snr_-25,76,40001,4,4,1,False,10.000014257622341,gaussian,True,1.0000365249800136,False,0.5747811999972328,3.99999818;7.99992873;13.0000886;14.0000242,14.0000124
very_low_snr_-25,77,40001,4,4,1,False,10.00011258702254,gaussian,True,1.0000454373460894,False,0.22520770000119228,3.99999818;7.99992873;13.0000886;14.0000242,14.0001108
very_low_snr_-25,78,40001,4,4,2,False,5.0001229364582285,gaussian,True,1.0000948773390936,False,0.5781575000000885,3.99999818;7.99992873;13.0000886;14.0000242,8.00034085;13.9998319
very_low_snr_-25,79,40001,4,4,1,False,10.000228002095357,gaussian,True,1.0000550048748935,False,0.5567315999942366,3.99999818;7.99992873;13.0000886;14.0000242,14.0002262
very_low_snr_-25,80,40001,4,4,1,False,10.000385162174494,gaussian,True,1.0000661405220341,False,0.22320120000222232,3.99999818;7.99992873;13.0000886;14.0000242,14.0003833
very_low_snr_-25,81,40001,4,4,1,False,10.000198187650481,gaussian,True,1.0000526363301727,False,0.5430819999965024,3.99999818;7.99992873;13.0000886;14.0000242,14.0001964
very_low_snr_-25,82,40001,4,4,1,False,10.000203763971145,gaussian,True,1.0000530850474825,False,0.23129379999591038,3.99999818;7.99992873;13.0000886;14.0000242,14.0002019
very_low_snr_-25,83,40001,4,4,1,False,10.000041092651793,gaussian,True,1.0000390184098547,False,0.5456642999997712,3.99999818;7.99992873;13.0000886;14.0000242,14.0000393
very_low_snr_-25,84,40001,4,4,1,False,9.999958608050045,gaussian,True,1.000031225092076,False,0.2253430999990087,3.99999818;7.99992873;13.0000886;14.0000242,13.9999568
very_low_snr_-25,85,40001,4,4,1,False,9.999941822921143,gaussian,True,1.000029595355889,False,0.20156819999829168,3.99999818;7.99992873;13.0000886;14.0000242,13.99994
very_low_snr_-25,86,40001,4,4,2,False,4.999716795107853,gaussian,True,1.0000451909737502,False,0.5359892999986187,3.99999818;7.99992873;13.0000886;14.0000242,7.99963998;13.9997205
very_low_snr_-25,87,40001,4,4,1,False,10.000119322250894,gaussian,True,1.0000460239417241,False,0.544875100000354,3.99999818;7.99992873;13.0000886;14.0000242,14.0001175
very_low_snr_-25,88,40001,4,4,2,False,4.999985401848998,gaussian,True,1.0000533437287247,False,0.5251031999941915,3.99999818;7.99992873;13.0000886;14.0000242,7.99996509;13.9999326
very_low_snr_-25,89,40001,4,4,1,False,9.999664925222463,gaussian,True,1.000001367005693,False,0.22766699999920093,3.99999818;7.99992873;13.0000886;14.0000242,13.9996631
very_low_snr_-25,90,40001,4,4,1,False,10.0002416285125,gaussian,True,1.0000560618857681,False,0.21648350000032224,3.99999818;7.99992873;13.0000886;14.0000242,14.0002398
very_low_snr_-25,91,40001,4,4,1,False,10.000011762033223,gaussian,True,1.000036290942392,False,0.22742730000027223,3.99999818;7.99992873;13.0000886;14.0000242,14.0000099
very_low_snr_-25,92,40001,4,4,1,False,10.000068261996999,gaussian,True,1.0000414976861487,False,0.20502439999836497,3.99999818;7.99992873;13.0000886;14.0000242,14.0000664
very_low_snr_-25,93,40001,4,4,1,False,10.000093034605577,gaussian,True,1.0000437161650562,False,0.21823510000103852,3.99999818;7.99992873;13.0000886;14.0000242,14.0000912
very_low_snr_-25,94,40001,4,4,1,False,10.00009744709127,gaussian,True,1.00004410693545,False,0.4745288999984041,3.99999818;7.99992873;13.0000886;14.0000242,14.0000956
