weak_to_nearest_strong_distance_hz,replicate,sample_count,true_k,estimated_k,weak_detected,strong_components_detected,correct_order,over_estimated,weak_frequency_error_hz,strong_frequency_mae_hz,strong_amplitudes,estimated_frequencies_hz,accepted_iterations,condition_design,ill_conditioned,runtime_seconds
0.5,108,40001,4,4,True,True,True,False,0.00019974284005197518,2.0046800941623626e-05,0.0322276071;0.0345612033;0.0378043622,2.99980026;3.50003205;10.5000188;14.0000093,4,1.000499674066823,False,1.8772129000026325
0.5,109,40001,4,4,True,True,True,False,3.936237365564921e-05,1.3070636733836238e-05,0.0375974912;0.0464906459;0.0371718132,3.00003936;3.49999968;10.4999644;13.9999967,4,1.0001232673012002,False,1.83129949999784
0.5,110,40001,4,3,False,True,False,False,0.500011665120879,1.1925539426786239e-05,0.039232512;0.0393130889;0.0311509704,3.50001167;10.500022;13.9999979,3,1.0000927267476039,False,1.0891598999987764
0.5,111,40001,4,4,True,True,True,False,3.6342680758139068e-06,2.2387784412991607e-05,0.0398238453;0.0319382841;0.0451481526,2.99999637;3.50004404;10.500022;13.9999989,4,1.0001960846832525,False,1.8546940000014729
0.5,112,40001,4,4,True,True,True,False,0.00045947181322913977,8.792104319255145e-06,0.0382052938;0.0334885513;0.0480781882,2.99954053;3.49998608;10.4999896;13.9999979,4,1.0009191044944012,False,1.8154773000023852
0.5,113,40001,4,3,False,True,False,False,0.49997088577403836,2.3468832491010023e-05,0.0309725666;0.0421735022;0.032861328,3.49997089;10.5000324;13.9999911,3,1.0000945912933985,False,1.7081097999980557
0.5,114,40001,4,3,False,True,False,False,0.5000022725089961,5.778636258983265e-06,0.043443411;0.0460993383;0.0450458455,3.50000227;10.4999994;14.0000145,3,1.0000942995730344,False,1.782165200002055
0.5,115,40001,4,4,True,True,True,False,0.0002140896677911286,8.262416728873253e-06,0.0450091904;0.0463675564;0.0493698917,3.00021409;3.50001228;10.500002;14.0000105,4,1.0004362607629702,False,1.7412288999985321
0.5,116,40001,4,3,False,True,False,False,0.5000194532831062,7.380521434008358e-06,0.0495550147;0.0467200176;0.0472586691,3.50001945;10.4999984;13.9999989,3,1.000090861682686,False,1.721767600000021
0.5,117,40001,4,4,True,True,True,False,2.6760862462893442e-05,1.6865141454935895e-05,0.0341782124;0.0327657944;0.042359035,3.00002676;3.49998807;10.4999906;14.0000293,4,1.0001297736741723,False,1.8183061000017915
0.5,118,40001,4,3,False,True,False,False,0.5000054814083068,2.1715299824975887e-05,0.0346229087;0.0396572123;0.0328497747,3.50000548;10.4999738;14.0000335,3,1.0001039095557778,False,1.80483980000281
0.5,119,40001,4,4,True,True,True,False,0.00012139304568137277,3.585208248442958e-05,0.0429684787;0.0399282115;0.0475841488,2.99987861;3.4999563;10.499956;13.9999801,4,1.0002087167919893,False,1.6796078999977908
0.5,120,40001,4,4,True,True,True,False,0.0001775108246819812,4.776784872066268e-05,0.0331514388;0.0425944922;0.0308666878,3.00017751;3.50006184;10.500013;14.0000685,4,1.0002688099268184,False,1.7196398999985831
0.5,121,40001,4,4,True,True,True,False,0.0001469748272526772,1.686257697416001e-05,0.0483593074;0.0410639659;0.0412499008,2.99985303;3.49996508;10.4999938;13.9999905,4,1.000271999016055,False,1.7572614999990037
0.5,122,40001,4,4,True,True,True,False,7.174071303417406e-05,2.8332970316865175e-05,0.049263206;0.0305762077;0.0334648508,3.00007174;3.49999609;10.5000424;14.0000387,4,1.000162087160659,False,1.7194524000005913
0.5,123,40001,4,4,True,True,True,False,0.0001767571125563805,8.984971090105395e-06,0.03427693;0.0430472419;0.0459741446,2.99982324;3.50001747;10.4999932;13.9999973,4,1.0004285951502823,False,1.7120174999981828
0.5,124,40001,4,4,True,True,True,False,4.417572262216396e-05,5.739262375274261e-06,0.034291129;0.0364450155;0.0318069851,3.00004418;3.49999708;10.4999942;13.9999915,4,1.000129167370344,False,1.6913843999973324
0.5,125,40001,4,4,True,True,True,False,9.014717761335334e-05,2.1740694254942145e-05,0.0398165085;0.0394164067;0.0437493485,3.00009015;3.49998707;10.5000518;14.0000005,4,1.0002183238439866,False,1.6301734000007855
